"condition","exercise","precaution","goal","difficulty","steps"
"wrist pain","wrist circles","keep wrist neutral","flexibility","Intermediate","rotate wrists slowly in both directions"
"wrist pain","prayer stretch","avoid pressure on wrist","rehabilitation","Intermediate","press palms together and lower hands gradually"
"wrist pain","grip strengthening","avoid overtraining","strength building","Advanced","squeeze soft ball repeatedly with light pressure"
"elbow pain","forearm stretches","avoid locking elbows","pain relief","Beginner","stretch forearm muscles gently after warm up"
"elbow pain","light curls","avoid jerky arm motion","strength recovery","Intermediate","curl light weights slowly with controlled movement"
"elbow pain","reverse wrist curls","avoid repetitive gripping","mobility improvement","Intermediate","lift wrist upward using light dumbbell"
"elbow pain","band pulls","avoid excessive load","rehabilitation","Advanced","pull resistance band slowly toward chest"
"elbow pain","tricep stretches","move slowly","flexibility","Beginner","bend arm overhead and stretch tricep gently"
"arthritis","water aerobics","exercise gently","joint mobility","Beginner","perform low impact movements in warm water"
"arthritis","chair yoga","avoid high resistance","pain relief","Beginner","perform seated yoga poses with slow breathing"
"arthritis","tai chi","move within pain free range","balance improvement","Intermediate","practice slow flowing body movements mindfully"
"arthritis","slow swimming","avoid cold environments","cardio fitness","Intermediate","swim at relaxed pace using gentle strokes"
"arthritis","range of motion exercises","stop if swelling occurs","flexibility","Advanced","move joints through comfortable motion daily"
"obesity","walking","start slowly","fat loss","Beginner","walk for fifteen minutes at moderate pace"
"obesity","stationary cycling","stay hydrated","calorie burning","Intermediate","cycle steadily with moderate resistance level"
"obesity","chair cardio","monitor breathing","weight loss","Beginner","perform seated arm and leg movements continuously"
"obesity","elliptical workout","increase duration gradually","cardio fitness","Intermediate","maintain smooth motion on elliptical machine"
"obesity","water walking","maintain steady pace","endurance building","Advanced","walk continuously in pool for twenty minutes"
"asthma","breathing exercises","keep inhaler nearby","lung endurance","Beginner","inhale deeply through nose and exhale slowly"
"asthma","slow jogging","avoid polluted air","cardio fitness","Intermediate","jog lightly while controlling breathing rhythm"
"asthma","walking intervals","stop if wheezing occurs","endurance building","Intermediate","alternate slow and moderate walking periods"
"asthma","indoor cycling","exercise in ventilated area","calorie burning","Advanced","cycle indoors while maintaining comfortable breathing"
"asthma","light aerobics","warm up properly","weight loss","Beginner","perform gentle aerobic steps at low intensity"
"diabetes","light cycling","monitor blood sugar","weight management","Beginner","cycle slowly for twenty minutes after meals"
"diabetes","walking after meals","carry water bottle","glucose control","Beginner","walk at comfortable pace after eating"
"diabetes","pilates","avoid skipping meals","flexibility","Intermediate","perform core focused pilates exercises carefully"
"diabetes","bodyweight squats","check glucose levels","strength building","Intermediate","lower body slowly and stand back upright"
"diabetes","light rowing","exercise consistently","fat loss","Advanced","row steadily while monitoring energy levels"
"high blood pressure","slow treadmill walking","avoid breath holding","heart health","Beginner","walk slowly with steady controlled breathing"
"high blood pressure","gentle yoga","avoid maximal exertion","stress reduction","Beginner","hold simple yoga poses with deep breathing"
"high blood pressure","stretching routine","avoid overheating","mobility improvement","Intermediate","stretch major muscle groups slowly and safely"
"high blood pressure","light hiking","stay hydrated","cardio fitness","Intermediate","walk on mild slopes at easy pace"
"high blood pressure","chair aerobics","avoid intense intervals","weight management","Advanced","perform seated aerobic exercises continuously"
"sciatica","piriformis stretch","avoid prolonged sitting","pain relief","Beginner","cross one leg over other and stretch gently"
"sciatica","bird dog","avoid bending with weight","core stability","Intermediate","balance while extending opposite limbs slowly"
"sciatica","pelvic tilts","avoid sudden twisting","mobility improvement","Beginner","tighten abdominal muscles and tilt pelvis upward"
"sciatica","cobra stretch","avoid lifting heavy loads","rehabilitation","Intermediate","press chest upward while hips stay grounded"
"sciatica","hamstring stretch","move slowly","flexibility","Advanced","stretch hamstrings gently without bouncing motion"
"plantar fasciitis","toe stretches","wear supportive shoes","pain relief","Beginner","pull toes backward gently while seated"
"plantar fasciitis","foot rolling","avoid barefoot walking","mobility improvement","Intermediate","roll foot over frozen bottle slowly"
"plantar fasciitis","calf stretches","avoid prolonged standing","flexibility","Beginner","lean toward wall and stretch calf muscles"
"plantar fasciitis","heel stretches","avoid high impact activity","rehabilitation","Intermediate","stretch heel cord carefully before walking"
"plantar fasciitis","arch strengthening","increase intensity gradually","foot stability","Advanced","perform towel scrunch exercises with toes"
"osteoporosis","chair squats","avoid sudden twisting","bone strength","Beginner","sit and stand slowly using strong posture"
"osteoporosis","step ups","avoid high impact jumps","leg strength","Intermediate","step onto low platform and return carefully"
"osteoporosis","light resistance training","maintain posture","strength building","Intermediate","lift light weights using slow movements"
"osteoporosis","wall sits","avoid spinal flexion","mobility improvement","Advanced","hold seated wall position for thirty seconds"
"osteoporosis","modified push ups","avoid jerky movements","upper body strength","Advanced","perform push ups using wall or knees"
"carpal tunnel syndrome","finger stretches","avoid repetitive typing","mobility improvement","Beginner","stretch fingers outward and relax repeatedly"
"carpal tunnel syndrome","wrist rotations","avoid excessive gripping","pain relief","Beginner","rotate wrists gently in circular motion"
"carpal tunnel syndrome","nerve glides","keep wrist neutral","rehabilitation","Intermediate","move wrist and fingers through nerve glide pattern"
"carpal tunnel syndrome","thumb stretches","take frequent breaks","flexibility","Intermediate","pull thumb gently backward and release slowly"
"carpal tunnel syndrome","tendon glides","avoid wrist pressure","strength recovery","Advanced","move fingers through full tendon glide sequence"
"rotator cuff injury","pendulum swings","avoid overhead lifting","rehabilitation","Beginner","lean forward and swing arm gently"
"rotator cuff injury","wall crawls","move slowly","mobility improvement","Intermediate","walk fingers upward along wall carefully"
"rotator cuff injury","band rows","avoid forceful pulling","strength building","Intermediate","pull resistance band toward torso slowly"
"rotator cuff injury","external rotations","avoid heavy shoulder press","pain relief","Advanced","rotate arm outward with resistance band"
"rotator cuff injury","scapular exercises","maintain shoulder alignment","posture correction","Advanced","squeeze shoulder blades during controlled movement"
"hamstring strain","gentle stretching","avoid sprinting","muscle recovery","Beginner","stretch back of thigh gently without bouncing"
"hamstring strain","foam rolling","avoid overstretching","mobility improvement","Intermediate","roll hamstring muscles slowly using foam roller"
"hamstring strain","bridge exercise","warm up properly","strength building","Intermediate","lift hips upward while engaging hamstrings"
"hamstring strain","light cycling","avoid explosive movement","rehabilitation","Advanced","pedal slowly to improve blood circulation"
"hamstring strain","mobility drills","exercise gradually","flexibility","Advanced","perform controlled leg swings at low intensity"
"shin splints","calf stretches","avoid hard surfaces","pain relief","Beginner","stretch calves gently before and after activity"
"shin splints","elliptical training","increase intensity slowly","cardio fitness","Intermediate","exercise on elliptical machine with low resistance"
"shin splints","pool jogging","avoid overtraining","rehabilitation","Intermediate","jog slowly in water with minimal impact"
"shin splints","heel walking","wear proper footwear","strength building","Advanced","walk on heels for short controlled intervals"
"shin splints","toe taps","stretch regularly","mobility improvement","Advanced","tap toes repeatedly while seated upright"
